"restaurant_id","restaurant_name","city","total_revenue"
1,"Chai & Chat 1","Delhi","1433.17"
2,"The Curry Leaf 2","Mumbai","681.24"
3,"South Spice 3","Kolkata","5731.05"
4,"Royal Tandoor 4","Delhi","4359.09"
5,"The Hungry Panda 5","Kolkata","887.08"
6,"Madras Cafe 6","Kolkata","1827.22"
7,"Dragon Wok 7","Bangalore","1494.43"
8,"Bombay Bistro 8","Chennai","2117.14"
9,"Delhi Darbar 9","Bangalore","3387.91"
10,"Curry Kingdom 10","Bangalore","474.81"
11,"Punjabi Dhaba 11","Delhi","1506.56"
12,"Curry Kingdom 12","Chennai","6136.88"
13,"Rasoi Ghar 13","Kolkata","3882.11"
14,"Madras Cafe 14","Delhi","2105.12"
15,"Mumbai Masala 15","Bangalore","1491.48"
16,"Taste of Punjab 16","Delhi","4522.62"
17,"Chai & Chat 17","Bangalore","3156.61"
18,"Delhi Darbar 18","Bangalore","2543.11"
19,"Chai & Chat 19","Delhi","3342.24"
20,"Pizza Junction 20","Mumbai","3411.51"
21,"Masala Magic 21","Kolkata","4496.29"
22,"Rasoi Ghar 22","Delhi","1116.89"
23,"Punjabi Dhaba 23","Bangalore","1091.50"
24,"Delhi Darbar 24","Kolkata","5863.55"
25,"Chai & Chat 25","Chennai","4910.43"
26,"Chai & Chat 26","Chennai","3329.29"
27,"The Curry Leaf 27","Kolkata","2846.15"
28,"Dragon Wok 28","Chennai","3879.29"
29,"The Curry Leaf 29","Mumbai","1037.13"
30,"Mumbai Masala 30","Delhi","990.89"
31,"Bombay Bistro 31","Chennai","4735.75"
32,"Annapurna Bhavan 32","Kolkata","2814.75"
33,"Pizza Junction 33","Delhi","2755.36"
34,"South Spice 34","Kolkata","5793.37"
35,"Flavours of India 35","Delhi","6658.59"
36,"Mughal Mahal 36","Delhi","1072.45"
37,"Masala Magic 37","Kolkata","1842.53"
38,"Curry Kingdom 38","Bangalore","3254.68"
39,"Delhi Darbar 39","Mumbai","1233.32"
40,"Pizza Junction 40","Kolkata","5333.85"
41,"Golden Spoon 41","Delhi","11065.40"
42,"The Food Studio 42","Bangalore","579.90"
43,"The Food Studio 43","Kolkata","2182.36"
44,"Golden Spoon 44","Delhi","5708.91"
45,"Saffron Delight 45","Chennai","1854.71"
46,"The Hungry Panda 46","Kolkata","5077.01"
47,"Caf̩ Masaledar 47","Kolkata","4406.02"
48,"Madras Cafe 48","Bangalore","3476.59"
50,"Mughal Mahal 50","Delhi","2013.08"
51,"Flavours of India 51","Delhi","3746.74"
