"restaurant_name","avg_rating","total_revenue"
"Delhi Darbar 176","3.50000","13877.56"
"Burger Factory 92","3.70000","13162.58"
"Urban Tadka 288","3.60000","12386.44"
"Golden Spoon 41","4.90000","11065.40"
"Saffron Delight 71","3.40000","11001.43"
"Saffron Delight 212","4.90000","10926.50"
"Pizza Junction 213","4.90000","9479.48"
"Chai & Chat 200","4.60000","9419.76"
"The Food Studio 147","4.70000","9413.07"
"Mumbai Masala 252","4.60000","9088.22"
"Spice Villa 295","4.40000","8926.39"
"Pizza Junction 161","4.00000","8906.70"
"Spice Villa 253","3.80000","8782.96"
"Kolkata Kitchen 56","3.90000","8725.18"
"Punjabi Dhaba 112","3.00000","8374.05"
"The Food Studio 86","3.70000","8230.37"
"Dragon Wok 215","4.00000","8108.65"
"Biryani House 201","3.80000","8083.05"
"Pizza Junction 156","3.10000","7956.84"
"Mumbai Masala 146","4.60000","7868.08"
"Bombay Bistro 296","4.90000","7841.98"
"Punjabi Dhaba 276","4.90000","7791.88"
"Delhi Darbar 120","4.40000","7763.58"
"Biryani House 285","4.40000","7662.93"
"Chai & Chat 284","3.10000","7649.69"
"Dragon Wok 242","5.00000","7591.44"
"Golden Spoon 249","4.90000","7541.99"
"Dragon Wok 158","3.80000","7537.08"
"Annapurna Bhavan 168","3.90000","7496.39"
"Mughal Mahal 237","3.80000","7457.34"
"Delhi Darbar 155","3.80000","7374.86"
"Golden Spoon 74","3.30000","7271.42"
"Delhi Darbar 174","3.30000","7169.82"
"Masala Magic 55","4.10000","7137.17"
"The Curry Leaf 103","4.60000","7027.01"
"South Spice 93","4.00000","6982.75"
"Annapurna Bhavan 300","4.10000","6956.08"
"The Curry Leaf 142","4.00000","6948.59"
"Urban Tadka 259","4.10000","6866.20"
"Masala Magic 63","4.70000","6786.59"
"Chutney Express 172","3.10000","6740.17"
"Dragon Wok 184","4.10000","6702.09"
"Punjabi Dhaba 136","3.00000","6686.82"
"Flavours of India 35","3.90000","6658.59"
"Chutney Express 177","4.20000","6648.56"
"Punjabi Dhaba 233","3.20000","6567.24"
"South Spice 291","3.40000","6539.18"
"Mughal Mahal 164","4.10000","6519.98"
"Urban Tadka 269","5.00000","6514.41"
"The Food Studio 90","3.20000","6476.27"
"Burger Factory 88","4.30000","6297.51"
"Annapurna Bhavan 218","4.20000","6292.83"
"Punjabi Dhaba 196","3.60000","6271.64"
"Masala Magic 69","3.80000","6266.34"
"Golden Spoon 293","3.50000","6241.83"
"Mumbai Masala 135","3.60000","6176.70"
"Burger Factory 292","4.40000","6170.30"
"Dragon Wok 52","3.10000","6141.66"
"Curry Kingdom 12","4.10000","6136.88"
"The Hungry Panda 85","4.90000","6110.71"
"Dragon Wok 79","3.60000","6104.44"
"The Food Studio 104","4.50000","6095.20"
"Flavours of India 251","3.20000","6030.77"
"Curry Kingdom 91","3.50000","6016.86"
"Chai & Chat 60","3.80000","6008.48"
"The Curry Leaf 230","3.60000","5974.01"
"Burger Factory 236","3.90000","5930.62"
"The Hungry Panda 268","3.60000","5905.06"
"Kolkata Kitchen 122","3.90000","5891.62"
"Dragon Wok 84","4.10000","5886.62"
"Delhi Darbar 24","3.60000","5863.55"
"South Spice 219","3.30000","5813.48"
"South Spice 34","4.50000","5793.37"
"Mumbai Masala 96","5.00000","5772.33"
"South Spice 3","4.20000","5731.05"
"Golden Spoon 44","4.50000","5708.91"
"Taste of Punjab 267","4.90000","5697.45"
"Golden Spoon 203","3.70000","5692.39"
"The Curry Leaf 193","4.20000","5691.44"
"Kolkata Kitchen 73","3.10000","5650.35"
"Biryani House 133","4.30000","5538.42"
"Pizza Junction 228","3.00000","5537.71"
"South Spice 145","4.20000","5493.93"
"Royal Tandoor 143","4.80000","5409.79"
"Mumbai Masala 226","3.40000","5377.35"
"Pizza Junction 40","4.20000","5333.85"
"South Spice 243","3.10000","5328.49"
"Curry Kingdom 179","4.90000","5274.47"
"The Food Studio 77","4.20000","5228.25"
"Chai & Chat 214","4.70000","5223.16"
"Annapurna Bhavan 223","3.60000","5209.31"
"Royal Tandoor 54","4.00000","5206.84"
"Taste of Punjab 167","3.10000","5153.39"
"The Hungry Panda 46","4.90000","5077.01"
"Golden Spoon 67","4.80000","5049.71"
"Caf̩ Masaledar 232","4.20000","4988.42"
"Masala Magic 238","4.00000","4949.20"
"Chai & Chat 25","4.80000","4910.43"
"Rasoi Ghar 150","4.00000","4845.14"
"Golden Spoon 255","3.40000","4782.22"
"Bombay Bistro 31","3.10000","4735.75"
"Tandoori Nights 127","4.50000","4727.45"
"Taste of Punjab 274","3.60000","4711.23"
"Masala Magic 117","4.20000","4704.60"
"Curry Kingdom 278","4.10000","4661.41"
"The Food Studio 94","4.30000","4605.59"
"Annapurna Bhavan 115","4.90000","4588.65"
"Urban Tadka 286","3.20000","4587.98"
"Mughal Mahal 205","3.50000","4586.87"
"Dragon Wok 297","4.90000","4564.41"
"Golden Spoon 140","3.30000","4557.62"
"Taste of Punjab 16","3.60000","4522.62"
"Rasoi Ghar 95","3.00000","4502.08"
"Masala Magic 21","4.40000","4496.29"
"Pizza Junction 148","4.50000","4484.77"
"Flavours of India 195","3.40000","4410.94"
"Caf̩ Masaledar 47","4.40000","4406.02"
"Biryani House 239","4.80000","4390.06"
"Royal Tandoor 4","3.40000","4359.09"
"Dragon Wok 220","5.00000","4343.35"
"The Food Studio 99","3.10000","4317.79"
"Annapurna Bhavan 126","3.30000","4305.80"
"Spice Villa 159","4.50000","4300.69"
"Chutney Express 118","4.20000","4286.45"
"Delhi Darbar 181","4.40000","4215.27"
"Pizza Junction 207","3.40000","4200.31"
"Mumbai Masala 244","4.00000","4171.86"
"Rasoi Ghar 263","3.50000","4130.07"
"The Curry Leaf 154","3.30000","4112.64"
"Rasoi Ghar 250","3.90000","4065.79"
"Taste of Punjab 248","3.80000","4061.20"
"Delhi Darbar 198","4.40000","4029.99"
"Chai & Chat 53","3.10000","3991.22"
"Rasoi Ghar 188","3.30000","3982.18"
"Curry Kingdom 206","3.20000","3953.87"
"Saffron Delight 290","3.80000","3921.07"
"Mumbai Masala 83","3.90000","3890.40"
"Rasoi Ghar 13","4.20000","3882.11"
"Dragon Wok 28","3.80000","3879.29"
"Curry Kingdom 261","4.90000","3820.41"
"Golden Spoon 199","4.40000","3795.31"
"Masala Magic 80","4.40000","3760.65"
"Spice Villa 166","3.90000","3753.88"
"Flavours of India 51","4.10000","3746.74"
"Caf̩ Masaledar 66","3.80000","3746.02"
"Royal Tandoor 225","3.20000","3702.71"
"Biryani House 235","4.60000","3686.64"
"Kolkata Kitchen 240","3.50000","3650.35"
"Chai & Chat 173","4.90000","3638.62"
"Chai & Chat 182","4.40000","3607.14"
"Flavours of India 61","3.40000","3576.26"
"Burger Factory 265","4.80000","3560.02"
"Delhi Darbar 254","4.20000","3526.72"
"Taste of Punjab 280","3.90000","3497.93"
"Burger Factory 134","4.60000","3494.25"
"The Curry Leaf 137","4.70000","3491.64"
"Madras Cafe 48","5.00000","3476.59"
"Masala Magic 162","3.10000","3466.00"
"Rasoi Ghar 157","4.80000","3459.53"
"Taste of Punjab 124","4.80000","3449.34"
"Annapurna Bhavan 272","4.70000","3447.26"
"Pizza Junction 20","3.90000","3411.51"
"Flavours of India 186","4.60000","3398.63"
"Madras Cafe 109","4.70000","3397.43"
"Mughal Mahal 229","3.60000","3393.46"
"Delhi Darbar 9","3.20000","3387.91"
"Kolkata Kitchen 70","4.40000","3384.87"
"Bombay Bistro 128","3.60000","3377.89"
"Chai & Chat 19","4.30000","3342.24"
"Chai & Chat 26","3.50000","3329.29"
"Biryani House 138","4.80000","3294.28"
"Bombay Bistro 211","4.40000","3284.93"
"Rasoi Ghar 191","3.60000","3284.28"
"Curry Kingdom 38","4.00000","3254.68"
"Rasoi Ghar 170","4.70000","3238.72"
"Curry Kingdom 287","3.30000","3219.81"
"Saffron Delight 175","3.20000","3214.93"
"Bombay Bistro 97","4.40000","3167.79"
"Chai & Chat 17","3.70000","3156.61"
"Caf̩ Masaledar 102","3.40000","3135.88"
"Flavours of India 169","4.50000","3132.70"
"Pizza Junction 256","3.90000","3077.58"
"Saffron Delight 277","3.70000","3062.05"
"Chai & Chat 294","3.50000","3020.34"
"Punjabi Dhaba 190","3.90000","2962.98"
"Curry Kingdom 187","4.30000","2892.83"
"Kolkata Kitchen 204","3.70000","2883.38"
"Madras Cafe 257","3.10000","2874.00"
"Royal Tandoor 289","3.70000","2857.70"
"The Curry Leaf 27","3.50000","2846.15"
"Annapurna Bhavan 32","4.10000","2814.75"
"Punjabi Dhaba 222","4.60000","2798.23"
"Spice Villa 121","4.40000","2757.35"
"Pizza Junction 33","4.40000","2755.36"
"The Hungry Panda 132","3.30000","2712.52"
"South Spice 185","4.00000","2695.82"
"Biryani House 260","3.90000","2637.30"
"Golden Spoon 270","4.10000","2633.55"
"Pizza Junction 98","3.20000","2588.98"
"Saffron Delight 101","3.70000","2558.36"
"Delhi Darbar 18","4.90000","2543.11"
"Dragon Wok 180","4.90000","2531.56"
"Urban Tadka 183","4.60000","2517.46"
"Caf̩ Masaledar 111","3.60000","2506.03"
"Mughal Mahal 59","4.30000","2434.58"
"Curry Kingdom 58","3.80000","2434.00"
"Pizza Junction 264","3.40000","2424.52"
"Tandoori Nights 130","4.30000","2416.39"
"Golden Spoon 275","5.00000","2374.23"
"The Hungry Panda 125","3.80000","2361.01"
"Chutney Express 100","3.30000","2318.46"
"Taste of Punjab 266","4.50000","2236.04"
"The Curry Leaf 202","4.20000","2233.16"
"Madras Cafe 141","4.60000","2221.07"
"The Food Studio 43","3.20000","2182.36"
"Golden Spoon 171","4.10000","2138.26"
"Taste of Punjab 160","4.50000","2134.64"
"Bombay Bistro 87","4.40000","2129.05"
"Flavours of India 163","3.30000","2120.49"
"Bombay Bistro 8","3.60000","2117.14"
"Taste of Punjab 108","3.30000","2115.30"
"Madras Cafe 14","4.30000","2105.12"
"The Hungry Panda 119","4.80000","2079.63"
"South Spice 123","3.60000","2077.05"
"Kolkata Kitchen 107","4.60000","2029.09"
"Mughal Mahal 50","3.40000","2013.08"
"Masala Magic 281","4.40000","2012.05"
"Pizza Junction 62","3.80000","1982.68"
"South Spice 227","3.50000","1919.07"
"Golden Spoon 149","4.50000","1899.37"
"Delhi Darbar 299","3.20000","1864.71"
"Saffron Delight 45","3.30000","1854.71"
"Masala Magic 37","4.00000","1842.53"
"Dragon Wok 139","4.40000","1830.72"
"Madras Cafe 6","3.40000","1827.22"
"Taste of Punjab 110","3.40000","1825.52"
"Caf̩ Masaledar 105","5.00000","1820.26"
"Pizza Junction 129","3.60000","1771.41"
"Annapurna Bhavan 194","4.00000","1689.42"
"Biryani House 64","3.20000","1661.39"
"Curry Kingdom 210","3.50000","1572.84"
"Tandoori Nights 247","4.30000","1546.11"
"Punjabi Dhaba 11","3.90000","1506.56"
"Dragon Wok 7","4.50000","1494.43"
"Taste of Punjab 231","4.40000","1491.62"
"Mumbai Masala 15","4.70000","1491.48"
"Royal Tandoor 72","4.10000","1489.40"
"Chai & Chat 1","4.50000","1433.17"
"The Curry Leaf 192","4.80000","1334.08"
"Madras Cafe 298","4.70000","1295.28"
"Curry Kingdom 144","4.60000","1287.38"
"Golden Spoon 208","4.20000","1245.43"
"Delhi Darbar 39","4.50000","1233.32"
"Chai & Chat 258","4.40000","1215.24"
"Chai & Chat 82","3.60000","1187.64"
"The Hungry Panda 75","3.10000","1137.96"
"Kolkata Kitchen 178","4.90000","1137.91"
"Rasoi Ghar 22","4.60000","1116.89"
"Punjabi Dhaba 23","3.50000","1091.50"
"Burger Factory 197","3.00000","1080.04"
"Mughal Mahal 36","4.80000","1072.45"
"The Curry Leaf 29","4.00000","1037.13"
"Bombay Bistro 68","5.00000","994.49"
"Mumbai Masala 30","3.30000","990.89"
"Taste of Punjab 283","4.90000","937.88"
"Caf̩ Masaledar 165","4.10000","936.52"
"The Hungry Panda 5","4.10000","887.08"
"The Curry Leaf 151","3.20000","876.22"
"The Food Studio 153","3.30000","872.21"
"Mughal Mahal 131","4.40000","820.54"
"The Curry Leaf 2","4.50000","681.24"
"Mughal Mahal 279","3.30000","662.54"
"Biryani House 241","4.70000","657.54"
"Chai & Chat 282","4.70000","590.52"
"Flavours of India 216","3.50000","582.41"
"The Food Studio 42","3.10000","579.90"
"Urban Tadka 152","3.70000","575.60"
"Delhi Darbar 113","3.60000","568.12"
"Taste of Punjab 217","4.60000","558.00"
"Curry Kingdom 10","4.20000","474.81"
"Biryani House 114","4.30000","452.08"
"Tandoori Nights 246","3.90000","450.15"
"Urban Tadka 262","3.50000","353.45"
"Madras Cafe 273","3.80000","337.59"
